rank,name,province,type,score
1,清华大学,北京,综合,1087.1
2,北京大学,北京,综合,1036.3
3,浙江大学,浙江,综合,895.6
4,上海交通大学,上海,综合,894.2
5,复旦大学,上海,综合,792.4
6,南京大学,江苏,综合,708.5
7,中国科学技术大学,安徽,理工,653.1
8,武汉大学,湖北,综合,638.7
9,华中科技大学,湖北,综合,638
10,西安交通大学,陕西,综合,620.8
11,北京航空航天大学,北京,理工,612.8
12,哈尔滨工业大学,黑龙江,理工,607.7
13,中山大学,广东,综合,597.6
14,北京理工大学,北京,理工,595.4
15,东南大学,江苏,综合,592.3
16,四川大学,四川,综合,581.3
17,中国人民大学,北京,综合,558.1
18,同济大学,上海,综合,556.6
19,北京师范大学,北京,师范,553.2
20,天津大学,天津,理工,544.2
21,南开大学,天津,综合,528.8
22,山东大学,山东,综合,527.1
23,西北工业大学,陕西,理工,519.2
24,中国农业大学,北京,农业,519.1
25,厦门大学,福建,综合,512.5
26,吉林大学,吉林,综合,498.2
27,中南大学,湖南,综合,497
28,大连理工大学,辽宁,理工,495.4
29,华东师范大学,上海,师范,469.1
30,南方科技大学,广东,综合,466.9
31,湖南大学,湖南,综合,464.1
32,华南理工大学,广东,理工,456.4
33,电子科技大学,四川,理工,453.6
34,重庆大学,重庆,综合,436
35,北京科技大学,北京,理工,429.3
36,南京理工大学,江苏,理工,419.3
37,南京航空航天大学,江苏,理工,417.4
38,东北大学,辽宁,理工,398.7
39,西安电子科技大学,陕西,理工,391.5
40,兰州大学,甘肃,综合,388.4
41,北京交通大学,北京,理工,381.1
42,华东理工大学,上海,理工,380.4
43,哈尔滨工程大学,黑龙江,理工,380.1
44,郑州大学,河南,综合,380
45,华中农业大学,湖北,农业,375.6
46,苏州大学,江苏,综合,374.4
47,上海科技大学,上海,综合,373.4
48,东北师范大学,吉林,师范,372.4
49,西南交通大学,四川,理工,366.3
50,北京邮电大学,北京,理工,360.3
51,中国海洋大学,山东,综合,359.2
52,江南大学,江苏,综合,355.8
53,华中师范大学,湖北,师范,355.1
54,武汉理工大学,湖北,理工,351.9
55,南京农业大学,江苏,农业,350.9
56,中国地质大学（武汉）,湖北,理工,350.8
57,北京化工大学,北京,理工,345
58,南京师范大学,江苏,师范,344.4
59,暨南大学,广东,综合,343.5
60,上海大学,上海,综合,343.3
61,西南大学,重庆,综合,343
62,中国石油大学（北京）,北京,理工,342.7
63,河海大学,江苏,理工,342
63,陕西师范大学,陕西,师范,342
65,北京工业大学,北京,理工,341.5
66,深圳大学,广东,综合,341.4
67,中国矿业大学,江苏,理工,335.7
68,浙江工业大学,浙江,理工,334.4
69,西北农林科技大学,陕西,农业,330.7
70,西北大学,陕西,综合,329.7
71,云南大学,云南,综合,325.8
72,东华大学,上海,理工,317.4
73,中国石油大学（华东）,山东,理工,316.3
74,南昌大学,江西,综合,314.5
75,中国地质大学（北京）,北京,理工,314.2
76,中国矿业大学（北京）,北京,理工,313.7
77,福州大学,福建,理工,310.5
78,宁波大学,浙江,综合,310.3
79,华南师范大学,广东,师范,306.6
80,合肥工业大学,安徽,理工,304.8
81,江苏大学,江苏,综合,301.3
82,南京邮电大学,江苏,理工,297.9
83,北京林业大学,北京,林业,294.9
84,华北电力大学,北京,理工,293.5
85,贵州大学,贵州,综合,291.1
86,广西大学,广西,综合,288.9
87,海南大学,海南,综合,286.9
88,南京工业大学,江苏,理工,285.2
89,长安大学,陕西,理工,282.7
90,福建师范大学,福建,师范,282.5
91,浙江师范大学,浙江,师范,282.2
92,湖南师范大学,湖南,师范,280.5
93,南京林业大学,江苏,林业,280.3
93,扬州大学,江苏,综合,280.3
95,河南大学,河南,综合,279.1
96,广东工业大学,广东,理工,276.1
97,太原理工大学,山西,理工,275.7
98,南京信息工程大学,江苏,理工,275.1
99,杭州电子科技大学,浙江,理工,274.6
100,首都师范大学,北京,师范,273.4
101,安徽大学,安徽,综合,273.3
102,山西大学,山西,综合,272.4
103,华南农业大学,广东,农业,270.1
104,山东师范大学,山东,师范,268.6
105,广州大学,广东,综合,267.8
106,上海理工大学,上海,理工,266.9
107,河北工业大学,河北,理工,266.5
108,青岛大学,山东,综合,263.1
109,燕山大学,河北,理工,261.9
110,昆明理工大学,云南,理工,260.8
111,西安理工大学,陕西,理工,259.8
112,浙江理工大学,浙江,理工,259.2
113,大连海事大学,辽宁,综合,257.2
114,内蒙古大学,内蒙古,综合,256.8
115,东北林业大学,黑龙江,林业,255.4
116,杭州师范大学,浙江,师范,254
117,湘潭大学,湖南,综合,253.7
118,西安建筑科技大学,陕西,理工,251.7
119,西南石油大学,四川,理工,248.3
120,东北农业大学,黑龙江,农业,245.7
121,湖北大学,湖北,综合,243.9
122,福建农林大学,福建,农业,243.4
123,上海师范大学,上海,师范,238.4
123,武汉科技大学,湖北,理工,238.4
125,辽宁大学,辽宁,综合,238.1
126,江西师范大学,江西,师范,238
127,成都理工大学,四川,理工,237.7
128,山东农业大学,山东,农业,234.7
129,温州大学,浙江,综合,234.5
130,河北大学,河北,综合,233.9
131,新疆大学,新疆,综合,233.6
132,陕西科技大学,陕西,理工,232.4
133,天津工业大学,天津,理工,231.9
134,四川农业大学,四川,农业,231.7
135,长沙理工大学,湖南,理工,231.6
135,石河子大学,新疆,综合,231.6
137,宁夏大学,宁夏,综合,230.9
138,长春理工大学,吉林,理工,230.6
139,华侨大学,福建,综合,229.8
140,山东科技大学,山东,理工,226.4
141,江苏科技大学,江苏,理工,224.9
142,上海海洋大学,上海,农业,222.5
143,安徽农业大学,安徽,农业,222
144,中北大学,山西,理工,221.5
145,安徽师范大学,安徽,师范,220.6
145,河南农业大学,河南,农业,220.6
147,重庆邮电大学,重庆,理工,219.3
147,南通大学,江苏,综合,219.3
149,广西师范大学,广西,师范,217.8
149,浙江农林大学,浙江,林业,217.8
151,齐鲁工业大学,山东,理工,217.4
151,中国计量大学,浙江,理工,217.4
153,沈阳农业大学,辽宁,农业,216.5
154,西北师范大学,甘肃,师范,216
155,黑龙江大学,黑龙江,综合,215.1
156,集美大学,福建,综合,215
157,延边大学,吉林,综合,214.9
158,天津科技大学,天津,理工,214.8
159,武汉纺织大学,湖北,理工,214
160,天津师范大学,天津,师范,213.5
161,吉林农业大学,吉林,农业,212.7
162,湖北工业大学,湖北,理工,211.2
162,辽宁师范大学,辽宁,师范,211.2
164,曲阜师范大学,山东,师范,210.7
165,常州大学,江苏,理工,210.1
166,湖南农业大学,湖南,农业,209.9
167,青岛科技大学,山东,理工,209.6
168,河南师范大学,河南,师范,209.2
169,武汉工程大学,湖北,理工,209
170,天津理工大学,天津,理工,208.6
171,上海海事大学,上海,综合,207.5
172,江苏师范大学,江苏,师范,207.4
173,汕头大学,广东,综合,206.9
174,三峡大学,湖北,综合,205.6
175,济南大学,山东,综合,205
176,河南科技大学,河南,综合,204.4
177,河北师范大学,河北,师范,204.3
178,北京建筑大学,北京,理工,204.1
179,沈阳航空航天大学,辽宁,理工,202.7
180,安徽理工大学,安徽,理工,201.7
181,南昌航空大学,江西,理工,200.5
182,北京信息科技大学,北京,理工,199.9
183,桂林电子科技大学,广西,理工,199.8
184,长江大学,湖北,综合,199.4
185,国际关系学院,北京,综合,198.9
186,西安科技大学,陕西,理工,197.6
187,青岛理工大学,山东,理工,197.4
188,上海电力大学,上海,理工,196.4
189,河北农业大学,河北,农业,196.3
189,湖南科技大学,湖南,综合,196.3
191,重庆交通大学,重庆,理工,195.8
192,兰州交通大学,甘肃,理工,195.6
193,安徽工业大学,安徽,理工,195.4
194,河南理工大学,河南,理工,195.2
194,华东交通大学,江西,理工,195.2
